项目/年份,2019,2018,2017,2016,2015
经营活动产生的现金流量净额,235700,310000,291600,243200,101800
资产减值准备,4792.46,4742.29,10300,3379.02,2043.86
资产折旧,193000,116900,93300,77400,25300
无形资产摊销,5829.43,4327.43,2828.38,3308.47,1160.78
长期待摊费用摊销,739.18,598.86,707.16,3408.34,807.69
处置资产的损失,-14000,295.70,1523.36,106.66,291.51
货币资金,269300,,,,
长期股权投资,44000,,,,
长期债务,408900,,,,
应付债券,421200
长期应付款,190100
短期债务,362300,,,,
一年内到期的长期负债,114200
利息支出,60599,,,,
公司债务,2873300,,,,
股东权益合计,1808800,,,,
少数股东权益,51100,,,,
发行股数量,428786,,,,
