项目/年份,2019,2018,2017,2016,2015
经营活动产生的现金流量净额,64800,46900,34700,16100,18400
资产减值准备,0,98.62,244.32,281.96,35.63
资产折旧,5816.19,5463.95,4763.61,4552.59,2426.04
无形资产摊销,130.66,165.52,188.7,183.32,170.82
长期待摊费用摊销,2693.47,3393.21,2801.93,2448.11,1748.08
处置资产的损失,0,5.72,6.45,23.67,72.94
货币资金,48300,,,,
长期股权投资,23200,,,,
长期债务,32000,,,,
应付债券,0
长期应付款,0
短期债务,11400,,,,
一年内到期的长期负债,6000
利息支出,2305.7,,,,
公司债务,69000,,,,
股东权益合计,197000,,,,
少数股东权益,18400,,,,
发行股数量,32064,,,,
