项目/年份,2019,2018,2017,2016,2015
经营活动产生的现金流量净额,79500,68400,34900,36300,27700
资产减值准备,4601.92,4975.46,5517.96,8016.9,1547.85
资产折旧,23900,20800,15200,11500,8791.51
无形资产摊销,761.51,697.58,514.04,466.12,422.21
长期待摊费用摊销,5985.85,4778.19,3147.10,1913.26,1373.03
处置资产的损失,42.08,51.15,-319.05,92.95,117.03
货币资金,50700,,,,
长期股权投资,10600,,,,
长期债务,0,,,,
短期债务,19300,,,,
利息支出,919.0009,,,,
公司债务,122600,,,,
股东权益合计,320800,,,,
少数股东权益,6127.97,,,,
发行股数量,165753,,,,
