项目/年份,2020,2019,2018,2017,2016
经营活动产生的现金流量净额,77200,48400,35000,13000,14300
资产减值准备,3193.15,376.77,2744.83,1554.9,405.22
资产折旧,11500,9397.16,7842.82,5911.59,3621.29
无形资产摊销,1034.56,839.61,787.85,490.32,384.64
长期待摊费用摊销,237.41,242.34,0,0,0
处置资产的损失,-3.22,30.24,34.73,-5845.57,17.67
货币资金,117000,,,,
长期股权投资,4769.08,,,,
长期债务,0,,,,
应付债券,0
长期应付款,0
短期债务,0,,,,
一年内到期的长期负债,0
利息支出,1107,,,,
公司债务,65600,,,,
股东权益合计,536900,,,,
少数股东权益,37400,,,,
发行股数量,96334.1,,,,
