项目/年份,2019,2018,2017,2016,2015
经营活动产生的现金流量净额,292600,272200,301700,193700,157100
资产减值准备,38300,29800,-382.31,8598.35,2043.13
资产折旧,18600,18500,13100,13100,13600
无形资产摊销,10500,6713.33,2584.68,2595.48,3542.51
长期待摊费用摊销,11700,11900,10100,9143.44,9707.26
处置资产的损失,9,-207,5,10.26,-99
货币资金,1190600,,,,
长期股权投资,25500,,,,
长期债务,0,,,,
短期债务,22400,,,,
利息支出,1280.9,,,,
公司债务,837700,,,,
股东权益合计,2231000,,,,
少数股东权益,242100,,,,
发行股数量,195000,,,,
