项目/年份,2019,2018,2017,2016,2015
经营活动产生的现金流量净额,815800,117300,124200,53600,36500
资产减值准备,56300,72800,20700,33300,13500
资产折旧,133800,105500,65600,39000,27500
无形资产摊销,1570.24,1173.01,950.46,830.59,711.7
长期待摊费用摊销,13400,13500,6465.98,2786.26,237.66
处置资产的损失,5864.33,430.78,831.36,1489.06,1457.65
货币资金,1933600,,,,
长期股权投资,107400,,,,
长期债务,250900,,,,
应付债券,99600
长期应付款,152800
短期债务,85400,,,,
一年内到期的长期负债,157100
利息支出,45843.2,,,,
公司债务,3100900,,,,
股东权益合计,2829500,,,,
少数股东权益,66600,,,,
发行股数量,377202,,,,
