项目/年份,2019,2018,2017,2016,2015
经营活动产生的现金流量净额,64200,67800,21800,42800,47300
资产减值准备,353.90,-101.86,1690.43,6196.48,7228
资产折旧,11000,10900,9236.89,19700,18800
无形资产摊销,1868.16,2057.2,1010.32,782.68,769.72
长期待摊费用摊销,663.14,364.47,83.02,70.4,27.38
处置资产的损失,10.08,-21.72,-424.92,47.17,15.2
货币资金,141300,,,,
长期股权投资,0,,,,
长期债务,40100,,,,
短期债务,0,,,,
利息支出,0,,,,
公司债务,113700,,,,
股东权益合计,517700,,,,
少数股东权益,123800,,,,
发行股数量,104536,,,,
