项目/年份,2019,2018,2017,2016,2015
经营活动产生的现金流量净额,38200,21200,22500,21900,23100
资产减值准备,1770.32,565.57,2788.37,3315.82,2151.05
资产折旧,3592.58,3408.91,3825.73,4421.07,3584.87
无形资产摊销,510.99,321.86,330.7,362.75,364.00
长期待摊费用摊销,0,0,9.88,27.64,100.9
处置资产的损失,8322,-102.9,0,33.85,-9866.88
货币资金,131800,,,,
长期股权投资,4329.51,,,,
长期债务,0,,,,
应付债券,0
长期应付款,0
短期债务,0,,,,
一年内到期的长期负债,0
利息支出,0,,,,
公司债务,79800,,,,
股东权益合计,243000,,,,
少数股东权益,0,,,,
发行股数量,32492.9,,,,
