项目/年份,2020,2019,2018,2017,2016
经营活动产生的现金流量净额,382900,210500,263000,115600,298500
资产减值准备,33100,28900,5822.03,6483.5,-82.36
资产折旧,14400,13100,12100,11700,10700
无形资产摊销,2382.79,2865.05,1092.28,1253.09,951.05
长期待摊费用摊销,2110.28,1788.10,555.50,306.06,243.41
处置资产的损失,-1419.53,-1235.70,-4.39,-5971.10,-467.61
货币资金,1528000,,,,
长期股权投资,32900,,,,
长期债务,3660,,,,
短期债务,195600,,,,
利息支出,16915.3698,,,,
公司债务,1687500,,,,
股东权益合计,3834400,,,,
少数股东权益,29100,,,,
发行股数量,126070.3320,,,,
